year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2013,Porsche,Panamera,Base,Sedan,automatic,wp0aa2a76dl011405,ca,41,33876,white,beige,high bid trading co inc,54000,58000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c5xcdl71530,ca,38,28925,white,black,financial services remarketing (lease),48500,50500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c59cdl72460,ca,38,22845,white,—,financial services remarketing (lease),50000,52500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c54cdl72186,ca,45,21262,white,—,financial services remarketing (lease),50400,52250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c54cdl72740,ca,44,25060,white,—,financial services remarketing (lease),49400,51500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Audi,R8,4.2 quattro,Coupe,automatic,wuaauafg1cn002532,ca,39,11740,gray,black,the hertz corporation,91000,91000,Wed Feb 11 2015 04:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c53cdl73376,ca,37,23496,white,black,financial services remarketing (lease),49800,51250,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c55cdl72357,ca,39,26391,white,—,financial services remarketing (lease),49100,51500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c55cdl71077,ca,48,25070,silver,—,financial services remarketing (lease),49400,50000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,BMW,X5 M,Base,SUV,automatic,5ymgy0c58clk27624,ca,34,23029,black,black,financial services remarketing (lease),53500,54000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Ferrari,California,Base,Convertible,automatic,zff65tja5c0187066,ca,42,10902,gray,brown,chicago motor car corporation,149000,154000,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
2012,Jaguar,XK,XKR,Convertible,automatic,sajwa4ec4cmb47263,ca,42,16234,silver,black,jpmorgan chase bank n.a.,53500,53000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Jaguar,XJ,XJL Supercharged,Sedan,automatic,sajwa2ge4cmv26361,ca,33,20861,black,black,jpmorgan chase bank n.a.,50600,50000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Jaguar,XK,XKR,Convertible,automatic,sajwa4ec0cmb46109,ca,38,14806,gray,black,jpmorgan chase bank n.a.,53800,53500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Mercedes-Benz,SL-Class,SL550,Convertible,automatic,wdbsk7baxcf169427,ca,45,19491,black,black,mercedes benz of bakersfield,57400,58750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Nissan,GT-R,Black Edition,Coupe,automatic,jn1ar5efxcm251015,ca,37,20307,gray,black,remarketing services of el paso,70000,61000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Porsche,Panamera,Base,Sedan,automatic,wp0aa2a79cl012594,ca,38,29549,red,tan,downtown motors inc,50300,51500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Porsche,911,Carrera S (Midyear Redesign),Coupe,automatic,wp0ab2a95cs121218,ca,44,16480,black,gray,mckenna audi/mckenna bmw,70000,72500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Porsche,Panamera,4,Sedan,automatic,wp0aa2a71cl010872,ca,41,38926,brown,brown,prestige auto,49700,50500,Thu Jan 15 2015 12:30:00 GMT-0800 (PST)
2011,BMW,X6 M,Base,SUV,automatic,5ymgz0c52blk14072,ca,43,20131,blue,black,bill pearce motors,48700,51000,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
2010,Bentley,Continental GT Speed,Base,Coupe,automatic,scbcp7za3ac065778,ca,3,15640,black,tan,porsche fin svcs dba bentley financial services,93000,96000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2009,Mercedes-Benz,G-Class,G550,SUV,automatic,wdcyr37e19x180079,ca,5,43506,black,black,nova auto sales inc,64000,66500,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
2006,Bentley,Continental Flying Spur,Base,Sedan,automatic,scbbr53w96c036212,ca,39,15909,blue,tan,fratelli investment group,52600,57250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Jaguar,F-TYPE,V8 S,Convertible,automatic,sajwa6gl0emk02767,ca,5,5357,black,red,jaguar north america llc,73000,73000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Ford,Shelby GT500,Base,Coupe,manual,1zvbp8jz8e5217125,ca,42,10426,white,black,high bid trading co inc,52900,55250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Jaguar,F-TYPE,V8 S,Convertible,automatic,sajwa6gl6emk02109,ca,39,6078,white,red,jaguar north america llc,73000,73500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Jaguar,F-TYPE,V8 S,Convertible,automatic,sajwa6gl2emk08358,ca,49,183,black,black,hoehn motors inc,75000,75000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Jaguar,XJ,XJR,Sedan,automatic,sajwa1ek6emv67838,ca,49,4225,silver,red,jaguar north america llc,87000,83500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Jaguar,F-TYPE,S,Convertible,automatic,sajwa6fc2e8k01081,ca,48,5236,red,red,jaguar north america llc,63000,67500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Land Rover,Range Rover,HSE,SUV,automatic,salgs2wf4ea149960,ca,2,10179,black,black,midway hfc fleet,111000,83500,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
2014,Land Rover,LR4,XXV,SUV,automatic,salak2v69ea704716,ca,48,3861,brown,tan,land rover north america llc,67000,62000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Land Rover,LR4,HSE,SUV,automatic,salag2v63ea693164,ca,48,7270,red,tan,land rover north america llc,61000,60000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Land Rover,Range Rover,Supercharged,SUV,automatic,salgs2efxea126796,ca,4,5975,—,tan,land rover north america llc,102000,99000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,Land Rover,Range Rover,Autobiography LWB,SUV,automatic,salgv3tf1ea155989,ca,46,5369,white,orange,land rover north america llc,136000,135000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Land Rover,Range Rover Sport,Autobiography,SUV,automatic,salwv2ef3ea300128,ca,48,5556,white,red,land rover north america llc,85000,98000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,Land Rover,Range Rover,Supercharged,SUV,automatic,salgs2ef9ea126773,ca,44,4460,brown,brown,land rover north america llc,103000,108000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,Land Rover,LR4,XXV,SUV,automatic,salak2v65ea704681,ca,46,5738,red,tan,land rover north america llc,66000,63500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Porsche,Cayman,Base,Coupe,automatic,wp0aa2a81ek172194,ca,5,174,blue,black,sports trend auto sales,51200,57500,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2014,Mercedes-Benz,CLA-Class,CLA45 AMG,Sedan,automatic,wddsj5cb9en047513,ca,28,9399,white,black,high bid trading co inc,50700,52000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Mercedes-Benz,GL-Class,GL63 AMG,SUV,automatic,4jgdf7ee7ea347612,ca,43,14363,black,gray,mercedes-benz usa,94000,88500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Porsche,Cayenne,Base,SUV,automatic,wp1aa2a2xela90873,ca,5,334,white,black,porsche financial services,58900,59000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Mercedes-Benz,E-Class,E550,Convertible,automatic,wddkk7df1ef230926,ca,39,8724,red,black,mercedes-benz usa,55400,55500,Thu Jan 29 2015 04:00:00 GMT-0800 (PST)
2014,Mercedes-Benz,S-Class,S550,Sedan,automatic,wddug8cb2ea028978,ca,41,8572,—,gray,mercedes-benz financial services,81000,86000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Mercedes-Benz,G-Class,G63 AMG,SUV,automatic,wdcyc7df6ex216753,ca,5,980,charcoal,black,chings trading,133000,134000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Mercedes-Benz,S-Class,S550,Sedan,automatic,wddug8cbxea042417,ca,45,10480,black,black,enterprise vehicle exchange/orange,80000,84000,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
2014,Mercedes-Benz,E-Class,E63 AMG 4MATIC,Sedan,automatic,wddhf9cb4ea930400,ca,42,8938,black,black,mercedes-benz finc wholesale advantage,70000,68500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Mercedes-Benz,E-Class,E63 AMG 4MATIC,Sedan,automatic,wddhf9cb5ea915663,ca,44,9758,black,black,the hertz corporation,68000,68000,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
2014,Mercedes-Benz,S-Class,S550 4MATIC,Sedan,automatic,wddug8fb0ea046312,ca,34,10134,white,black,the hertz corporation,84000,84000,Tue Feb 10 2015 04:30:00 GMT-0800 (PST)
2014,Porsche,Cayenne,Base,SUV,automatic,wp1aa2a29ela08440,ca,44,546,white,black,porsche financial services,58800,63500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Mercedes-Benz,S-Class,S550,Sedan,automatic,wddug8cb6ea052989,ca,37,13339,silver,black,exotic euro cars,78000,75000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,Bentley,Continental GTC,Base,Convertible,automatic,scbgu3za5dc085358,ca,4,16603,blue,beige,porsche fin svcs dba bentley financial services,149000,139000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2013,BMW,M5,Base,Sedan,automatic,wbsfv9c52dd096440,ca,48,12095,—,black,financial services remarketing (lease),66000,71000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2013,BMW,6 Series,640i,Convertible,automatic,wbalw7c54ddx58379,ca,44,20616,white,black,financial services remarketing (lease),53900,53000,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
2013,BMW,7 Series,750Li,Sedan,automatic,wbaye8c59dd133555,ca,46,36405,black,gray,financial services remarketing (lease),53000,52500,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2014,Audi,RS 7,Prestige quattro,Sedan,automatic,wuaw2afc7en902024,ca,5,6526,black,black,kawo int'l inc,101000,105000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,BMW,X5,sDrive35i,SUV,automatic,5uxkr2c53e0c01319,ca,46,11577,white,black,high bid trading co inc,50300,53000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2012,Bentley,Continental GT,Base,Coupe,automatic,scbfr7za8cc074227,ca,46,21689,black,black,phillips auto brokerage,115000,118000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2012,Porsche,Panamera,4,Sedan,automatic,wp0aa2a74cl013491,ca,4,44160,white,beige,mckenna audi/mckenna bmw,47900,50250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2011,Mercedes-Benz,SLS AMG,Base,Coupe,automatic,wddrj7ha4ba004243,ca,41,22128,gray,black,jba motors llc,123000,117800,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2010,Ferrari,California,Base,Convertible,automatic,zff65lja9a0170669,ca,48,7529,black,gray,eurocar,133000,124000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2007,Bentley,Continental GT,Base,Coupe,automatic,scbcr73w07c042630,ca,38,75333,gray,brown,j star fiat & maserati of anaheim hills,56700,52750,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2007,Bentley,Continental GTC,Base,Convertible,automatic,scbdr33w37c049682,ca,37,38725,blue,brown,the car exchange,69000,67000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2007,Bentley,Continental Flying Spur,Base,Sedan,automatic,scbbr93w578042715,ca,35,96822,black,tan,high bid trading co inc,50200,54000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2008,Porsche,911,Turbo,Convertible,automatic,wp0cd29978s708406,ca,45,35790,gray,brown,porsche of downtown la,63000,64500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2006,Bentley,Continental Flying Spur,Base,Sedan,automatic,scbbr53w56c039169,ca,41,41445,white,tan,eurocar,51000,58500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2005,Bentley,Continental GT,Base,Coupe,automatic,scbcr63w45c025126,ca,42,66950,silver,brown,phillips auto brokerage,45500,52500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgdf7ce5ea283217,ca,49,6648,white,black,beverly hills llc,61000,56500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Lexus,LX 570,Base,SUV,automatic,jtjhy7ax0e4141499,ca,45,9869,white,black,ubs wholesale,80000,79750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Jaguar,F-TYPE,S,Convertible,automatic,sajwa6fcxe8k08344,ca,45,3897,black,black,penegon mission viejo inc,64000,62000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Lexus,GX 460,Base,SUV,automatic,jtjbm7fx6e5085590,ca,48,8200,white,brown,high bid trading co inc,50100,50500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Audi,RS 5,quattro,Coupe,automatic,wuac6afr6da902467,ca,49,28238,red,gray,high bid trading co inc,56900,57250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Audi,Q7,TDI Prestige quattro,SUV,automatic,wa1wmafe9dd013104,ca,36,16930,black,black,porsche of fresno audi fresno,51800,52750,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Nissan,GT-R,Premium,Coupe,automatic,jn1ar5efxem270747,ca,36,5250,white,black,ferrari of orange county,79000,77000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgdf7ce4da101974,ca,43,29352,white,gray,mercedes-benz finc wholesale advantage,46000,51000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015,BMW,M4,Base,Coupe,automatic,wbs3r9c53fk329392,oh,5,3780,white,black,international motor car company,67000,64000,Thu Jan 15 2015 02:05:00 GMT-0800 (PST)
2011,Land Rover,Range Rover,Supercharged,SUV,automatic,salmf1e44ba352666,tx,48,6939,white,tan,mercedes benz of tyler,51400,54000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2011,Mercedes-Benz,E-Class,E63 AMG,Sedan,automatic,wddhf7hb9ba419984,tn,35,11524,gray,—,mercedes-benz financial services,50300,50000,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
2011,Mercedes-Benz,SL-Class,SL550,Convertible,automatic,wdbsk7ba5bf164702,tx,42,18664,black,tan,bailey auto plaza,55400,52500,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2011,Porsche,Cayenne,Turbo,SUV,automatic,wp1ac2a21bla81582,tx,49,30386,black,black,rolls royce motorcars manhattan,56800,60000,Tue Dec 23 2014 14:00:00 GMT-0800 (PST)
2010,Mercedes-Benz,G-Class,G550,SUV,automatic,wdcyc3hf8ax184188,ca,44,41328,black,black,calstar motors inc,70000,68500,Tue Jan 06 2015 12:30:00 GMT-0800 (PST)
2010,Porsche,Panamera,Turbo,Sedan,automatic,wp0ac2a71al091864,il,42,34346,black,black,mercedes benz of chicago,63000,65000,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2010,Rolls-Royce,Ghost,Base,Sedan,automatic,sca664s51aux48718,wi,4,8440,gray,beige,toyota financial services,157000,149800,Wed Dec 17 2014 10:00:00 GMT-0800 (PST)
2009,Audi,R8,quattro,Coupe,automatic,wuaau34299n002001,ca,49,19422,silver,red,mckenna audi/mckenna bmw,85000,84000,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2008,Bentley,Continental Flying Spur,Base,Sedan,automatic,scbbr93w08c057458,tx,43,51686,gray,black,chicago motor car corporation,58600,55000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2007,Bentley,Continental GT,Base,Coupe,automatic,scbcr73w07c042126,tx,47,74246,gray,black,rolls royce motorcars manhattan,56700,59000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2007,Bentley,Continental GTC,Base,Convertible,automatic,scbdr33w57c048839,ca,37,29897,black,black,phillips auto brokerage,72000,72500,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2015,Chevrolet,Tahoe,LTZ,SUV,automatic,1gnskckc7fr293905,wi,5,1102,black,black,robert preussler motors llc,54700,58500,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
2014,Ford,Shelby GT500,Base,Coupe,manual,1zvbp8jz9e5253115,nv,41,13250,gray,black,o'neal sales,52200,50300,Fri Dec 19 2014 12:00:00 GMT-0800 (PST)
2005,Bentley,Continental GT,Base,Coupe,automatic,scbcr63w45c028141,ca,41,34855,black,gray,eurocar,52600,54500,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Infiniti,QX80,Base,SUV,automatic,jn8az2ne7e9066594,tx,42,10340,silver,black,j & j auto & truck sales,61000,59800,Tue Dec 23 2014 10:10:00 GMT-0800 (PST)
2014,Land Rover,Range Rover Sport,Supercharged,SUV,automatic,salwr2tf1ea379144,fl,5,1172,gray,black,the collection,84000,84000,Thu Dec 18 2014 09:15:00 GMT-0800 (PST)
2014,Lexus,GX 460,Luxury,SUV,automatic,jtjjm7fx7e5087442,ca,5,3891,white,black,high bid trading co inc,56800,57250,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2014,Lexus,LX 570,Base,SUV,automatic,jtjhy7ax8e4132792,wi,49,13614,burgundy,beige,toyota motor sales/lexus,78000,75800,Tue Dec 23 2014 10:00:00 GMT-0800 (PST)
2014,Maserati,Quattroporte,S Q4,Sedan,automatic,zam56rra3e1076345,tx,46,12958,black,beige,reeves import motorcars inc,83000,78250,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2014,Lexus,GX 460,Luxury,SUV,automatic,jtjjm7fxxe5071509,tx,49,17831,gray,gray,music city autoplex llc,51200,53000,Wed Jan 07 2015 10:20:00 GMT-0800 (PST)
2014,Mercedes-Benz,CLS-Class,CLS550 4MATIC,Sedan,automatic,wddlj9bb2ea109810,wi,47,9354,—,black,mercedes-benz financial services,61000,58500,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
2014,Mercedes-Benz,C-Class,C63 AMG,Sedan,automatic,wddgf7hb1ea912557,tx,38,5530,black,black,mercedes-benz finc wholesale advantage,49900,52000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2014,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,automatic,4jgda5hb9ea369311,tx,5,2710,white,off-white,mercedes-benz financial services,47700,51250,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2014,Mercedes-Benz,E-Class,E63 AMG 4MATIC,Sedan,automatic,wddhf9cb8ea940332,pa,44,2036,silver,black,mercedes-benz finc wholesale advantage,80000,78000,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
2014,Mercedes-Benz,C-Class,C63 AMG,Sedan,automatic,wddgf7hb2ea911868,tx,36,6102,black,black,mercedes-benz finc wholesale advantage,51300,50500,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
2014,Mercedes-Benz,C-Class,C63 AMG,Sedan,automatic,wddgf7hb7ea918475,tx,44,1572,white,black,mercedes-benz finc wholesale advantage,51800,51750,Thu Jan 15 2015 03:00:00 GMT-0800 (PST)
2014,Mercedes-Benz,GL-Class,GL550 4MATIC,SUV,automatic,4jgdf7de7ea279667,tx,48,12069,black,gray,mercedes-benz financial services,77000,79500,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2014,Mercedes-Benz,CLS-Class,CLS550,Sedan,automatic,wddlj7db4ea116307,tx,5,7554,gray,black,mercedes-benz financial services,59200,60500,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2014,Mercedes-Benz,C-Class,C63 AMG,Sedan,automatic,wddgf7hb0ea919872,ga,43,3776,white,black,the hertz corporation,50900,51301,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
2014,Mercedes-Benz,SL-Class,SL550,Convertible,automatic,wddjk7da9ef022745,tx,49,1870,silver,black,mercedes-benz finc wholesale advantage,85000,84500,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2014,Mercedes-Benz,SL-Class,SL550,Convertible,automatic,wddjk7da1ef022867,tx,39,7025,white,beige,mercedes-benz finc wholesale advantage,84000,83000,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2014,Mercedes-Benz,S-Class,S63 AMG 4MATIC,Sedan,automatic,wddug7jb2ea047012,ca,5,147,black,beige,goodfellas auto sales llc,121000,139000,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
2014,Nissan,GT-R,Track Edition,Coupe,automatic,jn1ar5ef8em270004,tx,44,5932,black,black,chicago motor car corporation,78000,76500,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2014,Porsche,Cayman,S,Coupe,automatic,wp0ab2a84ek192937,tx,49,5961,black,black,rolls royce motorcars manhattan,59900,59250,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2013,Audi,S7,Prestige quattro,Sedan,automatic,wauw2afc0dn099498,ca,21,20833,white,black,high bid trading co inc,55600,53750,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2013,BMW,M5,Base,Sedan,automatic,wbsfv9c53dd096057,ca,42,35561,orange,black,mercedes benz of encino,59400,53500,Thu Jan 15 2015 04:00:00 GMT-0800 (PST)
